101;131141;PARCO TITO;VIA VILLA CLELIA FR 17;IMOLA;715438;914986;44,35435;11,702188;510
101;132105;BIANCONCINI;V.LE SAFFI FR 43;IMOLA;716013;914808;44,352578;11,709321;510
101;150105;IMOLA IST. ALBERGHETTI;V.LE DANTE 1;IMOLA;716295;914612;44,350732;11,712774;510
103;11506;CASTEL S.PIETRO T. FRATI;VIA VIARA CABINA ENEL;CASTEL SAN PIETRO TERME;706169;919276;44,395632;11,587704;513
103;11509;DUE FORNI;VIA VIARA 1630;CASTEL SAN PIETRO TERME;705637;917724;44,381826;11,580417;513
103;11522;MONTICINO;VIA VIARA FR DEL PARTIGIANO;CASTEL SAN PIETRO TERME;705139;915796;44,364627;11,573411;513
103;11525;CIVICHELLA;VIA VIARA FR 5029;CASTEL SAN PIETRO TERME;704596;914967;44,357325;11,566278;513
103;11538;LA BARLETA;VIA VIARA FR 6830;CASTEL SAN PIETRO TERME;703636;913517;44,344554;11,553677;528
103;11541;RONCO;VIA VIARA ANG MONTECERERE;CASTEL SAN PIETRO TERME;702736;913106;44,34111;11,542237;528
103;11551;MOLINO NUOVO;VIA VIARA 10300;CASTEL SAN PIETRO TERME;701387;911705;44,328885;11,524789;528
103;11564;CORIGNANO;VIA VIARA FR 12998;CASTEL SAN PIETRO TERME;699635;910622;44,319629;11,502422;528
103;11567;CAREGGIANA;VIA VIARA 13867;CASTEL SAN PIETRO TERME;698802;910565;44,319345;11,491964;528
103;11580;S.CLEMENTE RIGNANO B. POSTA;VIA SILLARO FR 28;MONTERENZIO;697672;910234;44,316677;11,477681;528
103;11583;S.CLEMENTE RIGNANO B. SILLARO;VIA SILLARO ANG CA` DEI MASI;MONTERENZIO;696920;910094;44,315622;11,468207;528
1;110113;IMOLA OSPEDALE VECCHIO;VIALE AMENDOLA 6/2;IMOLA;715831;915188;44,35605;11,707197;510
1;112102;IMOLA SAVONAROLA;P.ZZA SAVONAROLA FR 20;IMOLA;716415;915223;44,35619;11,714532;510
1;120103;IMOLA STAZIONE;P.LE MARABINI 4;IMOLA;716717;915558;44,359113;11,718457;510
1;122104;IMOLA MARCONI;V.LE MARCONI 73;IMOLA;715915;915812;44,361636;11,708509;510
1;124511;IMOLA PAMBERA;VIA PAMBERA 107;IMOLA;715507;916170;44,364977;11,703543;510
1;124514;IMOLA PONTESANTO;VIA BECCARIA 4;IMOLA;715157;916363;44,366817;11,699235;510
